"WatershedGroupName","OWF_ID","GNIS_Name_CSV","GNIS_Name_Flag","GNIS_ID_CSV","GNIS_ID_Flag","HUC8_CSV","HUC8_Flag","IBCC_Basin_CSV","IBCC_Basin_Flag","Website","Website_Flag","Comment"
Republican River Watershed Association,RepublicanRvrWA,Republican River,G,,x,,x,Arkansas,G,,M,
Ridgway Ouray Community Council,ROCC,,x,,x,,x,Gunnison,G,http://www.roccnet.org,,
Rio Grande Headwaters Land Trust,RioGrandeHeadwatersLT,Rio Grande,G,01385432,G,,x,Rio Grande,G,http://www.riograndelandtrust.org,,
Rio Grande Headwaters Restoration Project,RioGrandeHeadwatersResProj,Rio Grande,G,01385432,G,13010000,G,Rio Grande,G,http://www.riograndeheadwaters.org,,
River Protection Workgroup,RvrProtectionWorkgrp,,x,,x,,x,Southwest,G,http://ocs.fortlewis.edu/riverprotection,,
Roaring Fork Conservancy,RoaringForkConserv,Roaring Fork River,G,00174812,G,14010004,G,Colorado,G,http://www.roaringfork.org,,
Rocky Mountain Field Institute,RMFI,,x,,x,,x,Arkansas,G,http://www.rmfi.org,,
San Juan Citizens' Alliance,SanJuanCitizensAll,,x,,x,,x,Southwest,G,http://www.sanjuancitizens.org,,
San Juan Resource Conservation and Development Council,SJRCD,,x,,x,,x,Southwest,G,http://www.sanjuanrcd.org,,
San Luis Valley Ecosystem Council,SLVEC,,x,,x,,x,Rio Grande,G,http://www.slvec.org,,
San Luis Valley Wetlands Focus Area Committee,SanLuisVlyWetlandsCom,,x,,x,,x,Rio Grande,G,,M,
San Miguel Watershed Coalition,SanMiguelWC,San Miguel River,G,00169587,G,14030003,G,Southwest,G,http://www.sanmiguelwatershed.org,,
Sand Creek Greenway,SandCrkGrnwy,Sand Creek,G,00184740,G,10190003,G,Metro,G,http://www.sandcreekgreenway.org,,
Save the Poudre,SaveThePoudre,Cache la Poudre River,G,00205018,G,10190007,G,South Platte,G,http://www.savethepoudre.org,,
Snake River Watershed Task Force,SnakeRvrWTF,Snake River,G,00176197,G,14010002,G,Colorado,G,http://www.snakerivertaskforce.org,,
South Platte Coalition for Urban River Evaluation,SPCURE,South Platte River,G,00201759,G,,G,South Platte,G,http://www.spcure.org,,
St. Vrain Creek Coalition,StVrainCrkCltn,Saint Vrain Creek,G,00205012,G,10190005,G,South Platte,G,http://www.saintvraincreekcoalition.org,,
The Environmental Group,TEG,South Boulder Creek,G,00180974,G,10190005,G,South Platte,G,http://www.tegcolorado.org,,
The Greenlands Reserve,GreenlandsReserve,,x,,x,,x,Colorado,G,http://www.greenlandsreserve.org,,
The Greenway Foundation,GreenwayFoundation,South Platte River,G,00201759,G,,G,Metro,G,http://www.thegreenwayfoundation.org,,
Three Lakes Watershed Association,ThreeLakesWA,Colorado River,G,00045730,G,,x,Colorado,G,http://www.threelakeswater.org,,
Uncompahgre Partnership,UncompahgrePartnership,,x,,x,,x,Gunnison,G,http://www.uncompahgrewatershed.org,,
Uncompahgre Watershed Partnership,UncompahgreWP,Uncompahgre River,G,00185397,G,14020006,G,Gunnison,G,,M,
Upper Arkansas River Restoration Project,UpperArkansasRvrResProj,Arkansas River,G,00078956,G,,x,Arkansas,G,,M,
Upper Clear Creek Watershed Association,UpperClearCrkWA,Clear Creek,G,00181805,G,10190004,G,South Platte,G,,M,
Upper Yampa Watershed Group,UpperYampaWG,Yampa River,G,00169566,G,14050001,G,Yampa,G,http://www.routtcountycd.com,,
Ute Mountain Ute Tribe,UteMountainUtes,"Mancos River, McElmo Creek, San Juan River",G,,x,,x,Southwest,G,http://www.utemountainuteenvironmental.org,,
Water Center at Colorado Mesa University,WaterCenterCMU,,x,,x,,x,Colorado,G,http://www.coloradomesa.edu/WaterCenter,,
Westerly Creek Connection,WesterlyCrkConnection,Westerly Creek,G,00184739,G,10190003,G,Metro,G,,M,
Western Slope Conservation Center,WesternSlopeConservCenter,"North Fork Gunnison, Lower Gunnison River",G,,x,14020004,G,Gunnison,G,http://www.theconservationcenter.org,,
Willow Creek Reclamation Committee,WillowCrkReclamationCom,Willow Creek,G,,x,13010003,G,Rio Grande,G,http://www.willowcreede.org,,
